Datum,Name,Kurs *,Währung,2018,2017,2016,2015,2014,2013
04.04.2019,Italgas S.p.A. Nominative Az.,,EUR,"0,23","0,21","0,2",,,
05.04.2019,CAIXABANK S.A.,"2,97",EUR,"0,15","0,13","0,13","0,16","0,18","0,2"
05.04.2019,Tamedia AG (N),98,CHF,"4,5","4,5","4,5","4,5","4,5",4
05.04.2019,Straumann AG (N),"828,2",CHF,"5,25","4,75","4,25",4,"3,75","3,75"
05.04.2019,Forbo International S.A. (N),"1.598,00",CHF,,19,19,17,16,14
05.04.2019,Low & Bonar PLCShs.,"0,14",GBP,"0,01","0,03","0,03","0,03","0,03","0,03"
06.04.2019,Banco BPM S.p.A. Az. Nominativa,,EUR,,,"0,03","0,03","0,02",0
08.04.2019,ANY Security Printing Company Plc,"1.365,00",HUF,81,86,67,75,57,44
08.04.2019,Centamin PLC,"0,9",USD,"0,06","0,13","0,16","0,03","0,03",0
08.04.2019,Bossard AG,"163,2",CHF,"4,5","4,2","3,3",3,3,3
08.04.2019,Hexagon AB (B),"513,2",EUR,"0,59","0,53","0,48","0,43","0,35","0,31"
08.04.2019,Evolva AG,"0,23",CHF,0,0,0,0,0,0
08.04.2019,Kesko Oyj (B),,EUR,"2,34","2,2",2,"2,5","1,5","1,4"
08.04.2019,SSAB Svenskt Stal AB,"37,99",SEK,"1,5",1,0,0,0,0
08.04.2019,Henkel KGaA Vz.,"90,72",EUR,"1,85","1,79","1,62","1,47","1,31","1,22"
08.04.2019,Goodyear Tire & Rubber Co.,,USD,"0,58","0,44","0,31","0,25","0,22","0,05"
08.04.2019,Henkel KGaA St.,"83,4",EUR,"1,83","1,77","1,6","1,45","1,29","1,2"
08.04.2019,Synopsys Inc.,"116,43",USD,0,0,0,0,0,0
09.04.2019,Scotiabank (Bank of Nova Scotia),"71,05",CAD,"3,28","3,05","2,88","2,72","2,56","2,39"
09.04.2019,Nokian Renkaat Oyj (Nokian Tyres plc),,EUR,"1,58","1,56","1,53","1,5","1,45","1,45"
09.04.2019,Gurit AG,980,CHF,20,20,20,15,"8,5","7,5"
09.04.2019,Kudelski S.A. (I),"6,2",USD,"0,1","0,1","0,34","0,3","0,3","0,2"
09.04.2019,Magyar Telekom Telecommunications PLC (spons. ADRs),,HUF,25,25,25,15,0,50
09.04.2019,OC Oerlikon Corporation AG,"13,43",CHF,"0,35","0,35","0,3","0,3","0,3","0,27"
09.04.2019,Magyar Telekom Telecommunications PLC,467,HUF,25,25,25,15,0,50
09.04.2019,"NCC AB (B, FRIA)","148,3",SEK,4,8,8,3,12,12
09.04.2019,Sampo Plc (A),,EUR,"2,85","2,6","2,3","2,15","1,95","1,65"
09.04.2019,Swedish Match AB,453,SEK,"10,5","9,2","8,5",8,"7,5","7,3"
09.04.2019,Husqvarna ABShs -B-,"79,6",SEK,"2,25","2,25","1,95","1,65","1,65","1,5"
09.04.2019,The Navigator Company,,EUR,"0,28","0,35","0,24","0,43","0,28","0,22"
09.04.2019,Ekotechnika AG Serie A,16,EUR,0,0,0,,,
09.04.2019,Sika AG,,CHF,"2,05","1,85","1,6","1,3","1,2","0,95"
09.04.2019,Colliers International Group Inc Subord Voting,,USD,"0,1","0,1","0,1","0,14","0,4","0,2"
09.04.2019,Aena,"158,25",EUR,"6,93","6,5",0,,,
09.04.2019,Zug Estates AG (B),"1.750,00",CHF,28,"25,5",23,"20,5","18,5","16,5"
09.04.2019,VZ AG,257,CHF,"4,9","4,35","4,2","4,2","3,5",3
09.04.2019,Basellandschaftliche Kantonalbank (BLKB),914,CHF,35,35,35,35,34,33
09.04.2019,Bank of New York Mellon,"50,99",USD,"1,04","0,86","0,72","0,68","0,66","0,58"
10.04.2019,Julius Bär,"43,56",CHF,"1,5","1,4","1,2","1,1",1,"0,6"
10.04.2019,Huber + Suhner AG,"76,5",CHF,"2,5","1,1","1,25",1,"1,4","0,8"
10.04.2019,Storebrand AsaShs,"71,02",NOK,3,"2,1","1,55",0,0,0
10.04.2019,Swiss Finance & Property Investment AG,92,CHF,"3,6","3,6","3,6","3,4","3,2",3
10.04.2019,AMAG,"32,3",EUR,"1,2","1,2","1,2","1,2","1,2","0,6"
10.04.2019,Aker Solutions ASA,,NOK,0,0,0,0,"1,45","4,1"
10.04.2019,Airbus Group NV Unsponsored American Deposit Receipt Repr 1-4 Sh,29,EUR,"1,65","1,5","1,35","1,3","1,2","0,75"
10.04.2019,Sunrise Communications,,CHF,"4,2",4,"3,33",3,0,0
10.04.2019,Ahold Delhaize (Ahold),"23,15",EUR,"0,7","0,63","0,57","0,52","0,48","0,47"
10.04.2019,Logwin AG Registered Shs,,EUR,"3,5","2,5",2,0,0,0
10.04.2019,SBM Offshore NVShs,,USD,"0,37","0,25","0,23","0,21",0,0
10.04.2019,Basilea Pharmaceutica AG,"45,8",CHF,0,0,0,0,0,0
10.04.2019,Mediaset Espana Comunicacion S.A.,"6,56",EUR,,,"0,52","0,5","0,13",0
10.04.2019,Tornos SA,"8,11",CHF,0,0,0,0,0,0
10.04.2019,Lennar Corp.,,USD,"0,16","0,16","0,16","0,16","0,16","0,16"
10.04.2019,Airbus SE (ex EADS),,EUR,"1,65","1,5","1,35","1,3","1,2","0,75"
10.04.2019,KPN,,EUR,"0,12","0,11","0,1","0,11","0,07",0
10.04.2019,Telia (ex TeliaSonera),"42,69",SEK,"2,36","2,3",2,3,3,3
10.04.2019,Rio Tinto plc,"47,62",USD,"3,07","2,9","1,7","2,15","2,15","1,92"
10.04.2019,Ascom,"14,5",CHF,"0,45","0,45","0,8","0,45","0,45","0,4"
10.04.2019,Bachem AG,"123,98",CHF,"2,75","2,75","2,5","2,25",2,"1,75"
10.04.2019,Electrolux AB (B),"240,4",SEK,"8,5","8,3","7,5","6,5","6,5","6,5"
11.04.2019,Smith & Nephew plc,"14,96",USD,"0,36","0,35","0,31","0,31","0,3","0,27"
11.04.2019,Adobe Inc.,"271,9",USD,0,0,0,0,0,0
11.04.2019,Nestlé SA (Nestle),"96,37",CHF,"2,45","2,35","2,3","2,25","2,2","2,15"
11.04.2019,Schweiter AG (I),986,CHF,40,40,40,40,40,40
11.04.2019,Recordati Industria Chimica e Farmaceutica SPAAz. Post raggruppamento,"36,16",EUR,"0,92","0,85","0,7","0,6","0,5","0,33"
11.04.2019,ICA Gruppen AB,"358,9",SEK,"11,5",11,"10,5",10,"9,5",8
11.04.2019,Jeronimo Martins SGPS S.A.,,EUR,"0,61","0,61","0,27","0,62","0,31","0,31"
11.04.2019,MOL Hungarian Oil and Gas PlcShs Sponsored American Deposit Receipt Repr 1 Sh Series -A-,"5,45",HUF,"71,52","62,85","78,13","70,88","60,69","73,76"
11.04.2019,Raba Automotive Holding PLCShs,"1.225,00",HUF,,23,20,0,0,0
11.04.2019,Emmi AG,920,CHF,9,10,"5,9","4,9","3,8","3,8"
11.04.2019,KB Home,"25,48",USD,"0,1","0,1","0,1","0,1","0,1","0,1"
11.04.2019,Wessanen,,EUR,"0,14","0,13","0,12","0,11","0,1","0,05"
11.04.2019,MTU Aero Engines AG,"204,3",EUR,"2,85","2,3","1,9","1,7","1,45","1,35"
11.04.2019,Österreichische Post AG,"37,7",EUR,"2,08","2,05",2,"1,95","1,95","1,9"
11.04.2019,SIG Combibloc,,EUR,"0,31",,,,,
11.04.2019,Holmen AB Registered Shs -B-,,SEK,"6,75","6,5",6,"5,25",5,"4,5"
11.04.2019,MOL Hungarian Oil and Gas Plc Registered Shs (A),,HUF,"71,52","62,85","78,13","70,88","60,69","73,76"
11.04.2019,UniCredit S.p.A.,,EUR,"0,27","0,32",0,"1,2","1,2",1
11.04.2019,Monte Paschi SPA (Banca Monte dei Paschi di Siena MPS),,EUR,0,0,0,0,0,0
11.04.2019,HIAG Immobilien AG,134,CHF,"3,9","3,8","3,6","3,5","3,3",
11.04.2019,KHD Humboldt Wedag Industrial Services AG,27,EUR,0,"0,34",0,0,0,0
11.04.2019,MPC Münchmeyer Petersen Capital AG,"2,07",EUR,0,0,0,0,0,0
11.04.2019,Value-Holdings International AG,"3,18",EUR,"0,09","0,09","0,08","0,07","0,07","0,07"
11.04.2019,Orior AG,"78,7",CHF,"2,24","2,17","2,09","2,03",2,"1,97"
11.04.2019,Kardex AG,155,EUR,4,"3,6","3,3",3,"1,65","1,25"
11.04.2019,Porvair PLC,"5,46",GBP,"0,05","0,04","0,04","0,04","0,03","0,03"
12.04.2019,"GALP Energia,SAReg.Shs -B-",,EUR,"0,63","0,5","0,5","0,41","0,35","0,29"
12.04.2019,HOCHDORF AG,"124,6",CHF,4,4,"3,8","3,7","3,7","3,2"
12.04.2019,Bergbahnen Engelberg-Truebsee-Titlis AG BET,385,CHF,"9,4","8,4",8,7,6,5
12.04.2019,CNH Industrial N.V. Reg. Shs,"9,75",USD,"0,18","0,12","0,11","0,13","0,23","0,27"
12.04.2019,Covestro AG,"55,7",EUR,"2,4","2,2","1,35","0,7",,
12.04.2019,Fiat Chrysler (FCA),"14,06",EUR,0,0,0,0,0,0
12.04.2019,Ferrari N.V.,"123,15",EUR,0,"0,64","0,46",,,
12.04.2019,ASMALLWORLD AG,,CHF,0,,,,,
12.04.2019,Polyphor AG,,CHF,0,,,,,
12.04.2019,Corticeira Amorim SGPS S.A.,,EUR,"0,19","0,18","0,24",,,
12.04.2019,Unione di Banche Italiane SpA,"2,66",EUR,"0,12","0,11","0,11","0,11","0,08","0,06"
12.04.2019,Arbonia AG,"11,04",CHF,"0,2",0,0,0,0,"0,3"
12.04.2019,Orkla AS,"65,46",NOK,"2,6","2,6","2,6","2,5","2,5","2,5"
12.04.2019,Orságos Takar. És. Ker. BK O.N.,,HUF,219,220,190,165,145,145
12.04.2019,Allreal AG,170,CHF,"6,5","6,25","5,75","5,75","5,5","5,5"
12.04.2019,Santander S.A. (Banco Santander Central Hispano),"4,56",EUR,"0,23","0,22","0,21","0,21","0,6","0,6"
12.04.2019,HSBC Holdings plc,"6,59",USD,"0,51","0,51","0,51","0,51","0,5","0,49"
15.04.2019,Vivendi S.A.,,EUR,"0,5","0,45","0,4",3,1,1
15.04.2019,Tingyi (Cayman Islands) Holding CorpShs,,USD,,"0,02","0,02","0,02","0,04","0,04"
15.04.2019,Calida AG,"31,1",CHF,"0,8","0,8","0,8","0,8","0,8","0,8"
15.04.2019,Luzerner Kantonalbank AG,480,CHF,"12,5",12,"11,5",11,11,11
16.04.2019,Bell AG,293,CHF,"5,5",8,7,7,"6,5",6
16.04.2019,Davide Campari - Milano SPA Az nominativa,,EUR,"0,05","0,05","0,09","0,09","0,08","0,08"
16.04.2019,Banque Profil de Gestion SA,"2,96",CHF,0,0,0,0,0,0
16.04.2019,HCI Hammonia Shipping AG,,EUR,0,0,0,0,0,0
16.04.2019,XP Power Ltd,"24,9",GBP,"0,85","0,78","0,71","0,66","0,61","0,55"
16.04.2019,Sociedade de Investimento e Gestao SGPS SA SEMAPA,,EUR,"0,51","0,51","0,45","0,33","0,38","0,33"
16.04.2019,PostNL N.V.,,EUR,"0,24","0,23",0,0,0,0
16.04.2019,IVF HARTMANN AG,146,CHF,"2,5","2,5","2,4","2,3","2,2","2,05"
16.04.2019,Moncler S.p.A.,"36,65",EUR,"0,4","0,28","0,18","0,14","0,12","0,1"
16.04.2019,Conzzeta AG (A),,CHF,18,16,11,10,"12,5","22,5"
16.04.2019,Molecular Partners AG,,CHF,0,0,0,0,0,
16.04.2019,Compagnie Foncière Klépierre S.A. (Klepierre S.A.),,EUR,"2,1","1,96","1,82","1,7","1,6","1,55"
16.04.2019,Moody's Corp.,"190,54",USD,"1,76","1,52","1,48","1,36","1,18","0,98"
16.04.2019,Carnival Corp & plc paired,"54,8",USD,"1,95","1,6","1,35","1,1",1,1
16.04.2019,Advance Developing Markets Trust plc,,GBP,"0,21","0,1",0,0,0,0
16.04.2019,Carnival plc,"40,46",USD,"1,95","1,6","1,35","1,1",1,1
16.04.2019,Cicor Technologies Ltd.,56,CHF,1,"0,7",0,0,"0,36","0,3"
16.04.2019,Impresa Sociedade Gestora de Participacoes Socias SAReg.Shs,,EUR,,,0,0,,
16.04.2019,Komax AG,233,CHF,7,"6,5","6,5",6,5,"4,5"
16.04.2019,M&T Bank Corp.,"168,28",USD,"3,55",3,"2,8","2,8","2,8","2,8"
16.04.2019,Geox S.p.A.,"1,68",EUR,,"0,06","0,02","0,06",0,0
16.04.2019,Adecco SA,,EUR,"2,22","2,14","2,23","2,22","1,75","1,47"
16.04.2019,Tecan (N),"229,4",CHF,"2,1",2,"1,75","1,75","1,5","1,5"
16.04.2019,Citigroup Inc.,"69,31",USD,"1,54","0,96","0,42","0,16","0,04","0,04"
16.04.2019,Whirlpool Corp.,"137,35",USD,"4,55","4,3","3,9","3,45","2,88","2,38"
16.04.2019,Public Service Enterprise Group Inc.,"58,75",USD,"1,8","1,72","1,64","1,56","1,48","1,44"
16.04.2019,Fifth Third Bancorp,"27,73",USD,"0,74","0,6","0,53","0,52","0,51","0,47"
16.04.2019,U.S. Bancorp,"50,28",USD,"1,34","1,16","1,07","1,01","0,97","0,89"
17.04.2019,Beiersdorf AG,"92,68",EUR,"0,7","0,7","0,7","0,7","0,7","0,7"
17.04.2019,Mondadori,"1,69",EUR,0,0,0,0,0,0
17.04.2019,Siegfried AG (N),376,CHF,"2,6","2,4",2,"1,8","1,5","1,5"
17.04.2019,Axel Springer SE,"51,6",EUR,"2,1",2,"1,9","1,8","1,8","1,8"
17.04.2019,Sherwin-Williams Co.,"442,91",USD,"3,44","3,4","3,36","2,68","2,2",2
17.04.2019,TomTom N.V.,,EUR,0,0,0,0,0,0
17.04.2019,Belgacom S.A.,,EUR,"1,5","1,5","1,5","1,5","1,5","2,18"
17.04.2019,Asbury Automotive Group Inc.,"75,87",USD,0,0,0,0,0,0
17.04.2019,BAM,,EUR,"0,14","0,1","0,09","0,02",0,"0,05"
17.04.2019,Industrivaerden AB (A),"220,8",SEK,"5,75","5,5","5,25",5,"6,25","5,5"
17.04.2019,Bucher Industries AG,"360,2",CHF,8,"6,5",5,"5,5","6,5","6,5"
17.04.2019,Lenzing AG,103,EUR,3,3,3,2,1,"1,75"
17.04.2019,Bunzl plc,"23,14",GBP,"0,5","0,46","0,42","0,38","0,36","0,32"
17.04.2019,Georg Fischer AG (N),"1.036,00",CHF,25,23,20,18,17,16
17.04.2019,Vinci S.A.,,EUR,"2,67","2,45","2,1","1,84","1,77","1,77"
17.04.2019,PLAZZA AG,,CHF,5,4,3,3,0,0
17.04.2019,Cembra Money Bank AG,"97,8",CHF,"3,75","3,55","3,45","3,35","3,1","2,85"
17.04.2019,Swiss Re AG,"102,7",USD,"5,7","4,98","4,77","4,3","3,89","4,34"
17.04.2019,Vopak N.V.,,EUR,"1,1","1,05","1,05","0,9","0,9","0,9"
17.04.2019,CIG Pannonia Life Insurance OJSC,437,HUF,0,0,0,0,0,0
17.04.2019,Drax Group PLCShs,"3,68",GBP,"0,14","0,12","0,03","0,11","0,12","0,18"
17.04.2019,Aalberts,,EUR,"0,75","0,65","0,58","0,52","0,46","0,41"
17.04.2019,Fonciere Des RegionsAct.,,EUR,"4,6","4,5","4,4","4,3","4,3","4,2"
17.04.2019,Prysmian S.p.A.Az.,"16,04",EUR,"0,43","0,43","0,43","0,42","0,42","0,42"
17.04.2019,Subsea 7 S.A.,"110,05",USD,"0,17","0,61","0,58",0,0,"0,6"
17.04.2019,NanoRepro AG,"1,18",EUR,,,0,0,0,0
17.04.2019,Stanley Black & Decker Inc,"144,62",USD,"2,58","2,42","2,26","2,14","2,04","1,98"
17.04.2019,BVZ AG,930,CHF,,14,12,11,11,10
17.04.2019,Dialight PLC,"4,53",GBP,0,0,0,"0,1","0,15","0,14"
17.04.2019,Bank Linth LLB AG,470,CHF,9,9,8,8,8,8
17.04.2019,NSI NV Bearer,,EUR,"2,16","2,16","2,16","2,16",2,"2,24"
17.04.2019,Ferratum Oyj,"12,14",EUR,"0,18","0,18","0,12","0,1",,
17.04.2019,Walliser Kantonalbank,,CHF,"3,35","3,15",3,"2,7","2,7","2,7"
17.04.2019,Ahlers AG,,EUR,0,"0,15","0,15","0,2","0,4","0,45"
18.04.2019,Humana Inc.,,USD,2,"1,6","1,16","1,15","1,11","1,07"
18.04.2019,Wolters Kluwer N.V.,,EUR,"0,98","0,85","0,79","0,75","0,71","0,7"
18.04.2019,PUMA SE,"544,5",EUR,"3,5","12,5","0,75","0,5","0,5","0,5"
18.04.2019,CNP Assurances S.A.,,EUR,"0,89","0,84","0,8","0,77","0,77","0,77"
18.04.2019,World Wrestling Entertainment Inc.,"96,71",USD,"0,48","0,48","0,48","0,48","0,48","0,48"
18.04.2019,Atlantia S.p.A.,"22,91",EUR,"0,9","1,22","0,97","0,88","0,8","0,75"
18.04.2019,Christian Dior S.A.,,EUR,6,5,"3,55","3,2","3,1","2,9"
18.04.2019,"L'Oréal S.A. (L'Oreal, L Oreal)",,EUR,"3,85","3,55","3,3","3,1","2,7","2,5"
18.04.2019,AES Corp.,"17,72",USD,"0,53","0,49","0,45","0,41","0,25","0,17"
18.04.2019,AutoNation Inc.,"37,83",USD,0,0,0,0,0,0
18.04.2019,Huntington Bancshares Inc.,"13,61",USD,"0,5","0,35","0,29","0,25","0,21","0,19"
18.04.2019,Veolia Environnement S.A.,,EUR,"0,92","0,84","0,8","0,73","0,7","0,7"
18.04.2019,Lonza AG (N),"297,4",CHF,"2,75","2,75","2,75","2,5","2,15","2,15"
18.04.2019,PPG Industries Inc.,"119,86",USD,"1,86","1,7","1,56","1,44","1,31","1,21"
24.04.2019,Grupo EDP S.A. (Electricidade de Portugal S.A.),,EUR,"0,19","0,19","0,19","0,19","0,19","0,19"
24.04.2019,NCR Corp.,"29,36",USD,0,0,0,0,0,0
24.04.2019,Petroleum Geo-Services ASA,"20,01",USD,0,0,0,0,"0,09","0,38"
24.04.2019,Ball Corp.,"58,9",USD,"0,4","0,37","0,26","0,26","0,26","0,26"
24.04.2019,Textron Inc.,"54,23",USD,"0,08","0,08","0,08","0,08","0,08","0,08"
24.04.2019,Coca-Cola Co.,"47,98",USD,"1,56","1,48","1,4","1,32","1,22","1,12"
24.04.2019,Kering,,EUR,"10,5",6,"4,6",4,4,"3,75"
24.04.2019,Bank of America Corp.,"30,02",USD,"0,54","0,39","0,25","0,2","0,12","0,04"
24.04.2019,AXA S.A.,,EUR,"1,34","1,26","1,16","1,1","0,95","0,81"
24.04.2019,Sankt Galler Kantonalbank (N),"476,83",CHF,16,"17,5",15,15,15,15
24.04.2019,MGIC Investment Corp.,"14,24",USD,0,0,0,0,0,0
24.04.2019,Komercni Banka AS,"34,94",CZK,51,47,40,62,62,46
24.04.2019,Hancock Holding Co.,"42,59",USD,"1,02","0,96","0,96","0,96","0,96","0,96"
24.04.2019,Alfa Laval AB,"224,8",SEK,5,"4,25","4,25","4,25",4,"3,75"
24.04.2019,BorgWarner Inc.,"43,55",USD,"0,68","0,59","0,53","0,52","0,51","0,25"
24.04.2019,Mayr-Melnhof Karton AG,117,EUR,"3,2","3,1",3,"2,8","2,6","2,4"
24.04.2019,Regions Financial Corp.,"15,38",USD,"0,46","0,32","0,26","0,23","0,18","0,1"
24.04.2019,Tribal Group plc,"0,7",GBP,"0,01","0,01",0,"0,01","0,02","0,02"
24.04.2019,Vetropack SA,"2.285,00",CHF,50,45,"38,5","38,5","38,5","37,5"
24.04.2019,Eiffage S.A.,,EUR,,"1,5","1,5","1,5","1,2","1,2"
24.04.2019,Telenet Group Holding N.V.,,EUR,"5,3",0,0,0,0,0
24.04.2019,Ameriprise Financial Inc,144,USD,"3,53","3,24","2,92","2,59","2,26","2,01"
24.04.2019,Calavo Growers IncShs,"95,5",USD,1,"0,95","0,9","0,8","0,75","0,7"
24.04.2019,Orange Polska S.A.,"5,01",PLN,0,0,0,"0,25","0,5","0,5"
24.04.2019,SThree PLCShs,"3,11",GBP,"0,15","0,14","0,14","0,14","0,14","0,14"
24.04.2019,DiaSorin S.p.A.Az.,"85,75",EUR,"0,9","0,85","0,8","0,65","0,6","0,55"
24.04.2019,Zwahlen et Mayr SA,250,CHF,,0,0,0,0,0
24.04.2019,Itau Unibanco Holding SA Pfd Shs (spons. ADRs),,BRL,,,"0,17","0,16","0,16","0,16"
24.04.2019,Glanbia PLC,,EUR,"0,24","0,22","0,13","0,12","0,11","0,1"
24.04.2019,Public Storage,"218,22",USD,8,8,"7,3","6,5","5,6","5,15"
24.04.2019,ICADE SA,,EUR,"4,6","4,3",4,"3,73","3,73","3,67"
24.04.2019,ASML NV,,EUR,"2,1","1,4","1,2","1,05","0,7","0,61"
25.04.2019,Flughafen Zuerich AG,"174,6",CHF,"3,7","3,3","3,2",3,"2,7",2
25.04.2019,Ingevity Corp When Issued,,USD,0,0,0,,,
25.04.2019,Gaia Inc (A),,USD,0,0,0,0,0,0
25.04.2019,Comet Holding AG,,CHF,"1,2","1,5","1,2","1,1","1,1","0,8"
25.04.2019,Atlas Copco AB Registered Shs -B-,,SEK,"6,3",7,"6,8","6,3",6,"5,5"
25.04.2019,Atlas Copco AB Registered Shs -A-,,SEK,"6,3",7,"6,8","6,3",6,"5,5"
25.04.2019,Umicore SA,,EUR,"0,75","0,7","0,65","0,6","0,5","0,5"
25.04.2019,KTM Industries AG,,EUR,,"0,3","0,3","0,3",,
25.04.2019,Akzo Nobel N.V.,,EUR,"1,8","2,5","1,65","1,55","1,45","1,45"
25.04.2019,Aggreko PLC,"8,46",GBP,"0,27","0,27","0,27","0,27","0,27","0,26"
25.04.2019,TEGNA Inc,"15,77",USD,"0,28","0,35","0,56","0,68","0,8","0,8"
25.04.2019,Assa Abloy AB (B),,SEK,"3,5","3,3",3,"2,65","2,17","1,9"
25.04.2019,Murray International Trust PLC,,GBP,"0,52","0,5","0,48","0,47","0,45","0,43"
25.04.2019,Citizens Financial Group Inc,,USD,"0,98","0,64","0,46","0,4","1,43","2,12"
25.04.2019,Opus Bank,"21,52",USD,0,0,"0,53","0,34",0,
25.04.2019,Banner Corp.,"51,78",USD,"1,96",2,"0,88","0,72","0,72","0,54"
25.04.2019,Aptiv (ex Delphi Automotive),,USD,"0,88","1,16","1,16",1,1,"0,68"
25.04.2019,RBS (Royal Bank of Scotland),,GBP,"0,13",0,0,0,0,0
25.04.2019,Basler Kantonalbank Partizipsch.,"78,2",CHF,"3,1","3,1","3,1","3,1","3,1","3,1"
25.04.2019,Rit Capital Partners PLC,"20,8",GBP,"0,33","0,32","0,31","0,29","0,28",
25.04.2019,Pendragon PLC,"0,23",GBP,"0,02","0,02","0,01","0,01","0,01",0
25.04.2019,RELX PLC (ex Reed Elsevier),"17,4",GBP,"0,42","0,39","0,42","0,3","0,26","0,25"
25.04.2019,RELX NV (ex Reed Elsevier),,GBP,,"0,4","0,36","0,29","0,46","0,43"
25.04.2019,Acacia Mining PLC,"1,48",USD,0,0,"0,1","0,04","0,04","0,02"
25.04.2019,"Bolsas y Mercados Espanoles Sociedad Holding de Mercados y Sistemas Financieros, SAShs","24,9",EUR,"1,57","1,78","1,8","1,93","1,89","1,65"
25.04.2019,AB Effectenbeteiligungen AG,13,EUR,"0,2","0,8","0,7","0,5",1,
25.04.2019,SAF-Holland SA,"11,42",EUR,"0,45","0,45","0,44","0,4","0,32","0,27"
25.04.2019,Admiral Group PLC,"22,42",GBP,"1,26","1,14","1,14","1,14","0,98","0,99"
25.04.2019,u-blox AG,"89,1",CHF,"1,6","2,25","2,1","1,9","1,6","1,3"
25.04.2019,Heineken Holding N.V.,,EUR,"1,6","1,47","1,34","1,3","1,1","0,89"
25.04.2019,FHB Hypotheken- und Bodenkreditbank AG,710,HUF,0,0,0,0,0,0
25.04.2019,Intuitive Surgical Inc,"517,78",USD,0,0,0,0,0,0
25.04.2019,"Huhtamäki Oyj (Huhtamaki, Huhtamaeki)",,EUR,"0,84","0,8","0,73","0,66","0,6","0,57"
25.04.2019,Avery Dennison Corp.,"108,46",USD,"2,01","1,76","1,6","1,46","1,34","1,14"
25.04.2019,Schneider Electric S.A.,,EUR,"2,35","2,2","2,04",2,"1,92","1,87"
25.04.2019,Bouygues S.A.,,EUR,"1,7","1,7","1,6","1,6","1,6","1,6"
25.04.2019,CRH plc,,EUR,"0,72","0,68","0,65","0,63","0,63","0,63"
25.04.2019,Taylor Wimpey plc,"1,82",GBP,"0,06","0,05","0,05","0,03","0,02","0,01"
25.04.2019,UCB S.A.,,EUR,"1,21","1,18","1,15","1,1","1,04","1,02"
25.04.2019,Metso Corporation,,EUR,"1,2","1,05","1,05","1,05","1,05",1
25.04.2019,Elma Electronic AG (N),410,CHF,0,0,0,0,0,0
25.04.2019,Tullow Oil plc,"2,35",USD,"0,05",0,0,0,"0,04","0,2"
25.04.2019,T. Rowe Price Group Inc.,"107,66",USD,"2,8","2,28","2,16","2,08","1,76","1,52"
25.04.2019,Global Payments Inc.,"143,43",USD,"0,04","0,04","0,04","0,04","0,04","0,04"
25.04.2019,Eurazeo S.A.,,EUR,"1,25","1,25","1,14","1,14","1,14","1,14"
25.04.2019,Danone S.A.,,EUR,"1,94","1,9","1,7","1,6","1,5","1,4"
25.04.2019,Westamerica Bancorp,"63,11",USD,"1,6","1,57","1,56","1,53","1,52","1,49"
25.04.2019,Heineken N.V.,,EUR,"1,6","1,47","1,34","1,3","1,1","0,89"
25.04.2019,NRG Energy Inc.,"40,89",USD,"0,12","0,12","0,24","0,58","0,54","0,45"
25.04.2019,Lockheed Martin Corp.,"328,87",USD,"8,2","7,46","6,77","6,15","5,49","4,78"
25.04.2019,Peugeot S.A. (PSA Peugeot Citroën),,EUR,"0,78","0,53","0,48",0,0,0
25.04.2019,Pfizer Inc.,"39,61",USD,"1,38","1,28","1,2","1,12","1,04","0,96"
25.04.2019,Johnson & Johnson,"139,65",USD,"3,54","3,32","3,15","2,95","2,76","2,59"
25.04.2019,Texas Instruments Inc. (TI),"117,17",USD,"2,63","2,12","1,64","1,4","1,24","1,07"
25.04.2019,BAT PLC (British American Tobacco),"29,82",GBP,"2,03","1,95","1,69","1,54","1,48","1,42"
25.04.2019,Torchmark Corp.,"86,55",USD,"0,64","0,59","0,56","0,53","0,49","0,44"
25.04.2019,Diebold Nixdorf Inc.,"12,71",USD,"0,1","0,4","0,96","1,15","1,15","1,15"
25.04.2019,Mikron AG (Mikron Technology),"7,94",CHF,,"0,05","0,05","0,05","0,1","0,15"
25.04.2019,Eurofins Scientific Group S.A.,,EUR,"2,88","2,4",2,"1,45","1,32","1,2"
25.04.2019,Edison International,"63,58",USD,"2,43","2,23","1,98","1,73","1,48","1,37"
25.04.2019,CenterPoint Energy Inc.,"30,51",USD,"1,11","1,07","1,03","0,99","0,95","0,83"
25.04.2019,Snap-On Inc.,"168,16",USD,"3,41","2,95","2,54","2,2","1,85","1,58"
25.04.2019,Petrobras SA (Petroleo Brasileiro) (spons. ADRs),"14,03",USD,"0,07",0,0,0,0,"0,44"
25.04.2019,DBS Group Holdings Ltd.,"27,25",SGD,"1,2","0,93","0,6","0,6","0,58","0,58"
26.04.2019,Rotork PLC,,GBP,"0,06","0,05","0,05","0,05","0,05","0,05"
26.04.2019,Hexpol AB (B),,SEK,"2,25","1,95","1,75","1,7","1,2","0,9"
26.04.2019,Corestate Capital Holding S.A.,,EUR,"2,5",2,1,,,
26.04.2019,VP Bank,,CHF,"5,5","5,5","4,5",4,3,"3,5"
29.04.2019,CEVA Logistics,,USD,0,0,,,,
29.04.2019,Sonae Industria SGPS SA Registered Shs,,EUR,,0,0,0,0,0
30.04.2019,ATOSS Software AG,"109,5",EUR,"1,4","1,17","1,16","0,95","0,88","0,72"
30.04.2019,IBM Corp. (International Business Machines),"140,27",USD,"6,21","5,9","5,5",5,"4,25","3,7"
